Name,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
Common,01/Common,InvBalD_Artifact_01_Common,RARITY,1,1,1,Artifact_Part_Rarity_Common,,
Common,01/Common,InvBalD_Artifact_01_Common,ABILITY,1,1,1,Artifact_Part_Ability_RearEnder,,
Common,01/Common,InvBalD_Artifact_01_Common,ABILITY,1,1,1,Artifact_Part_Ability_BloodFrenzy,,
Common,01/Common,InvBalD_Artifact_01_Common,ABILITY,1,1,1,Artifact_Part_Ability_ElectricSlide,,
Common,01/Common,InvBalD_Artifact_01_Common,ABILITY,1,1,1,Artifact_Part_Ability_ElementalOrigin,,
Common,01/Common,InvBalD_Artifact_01_Common,ABILITY,1,1,1,Artifact_Part_Ability_FleshMelter,,
Common,01/Common,InvBalD_Artifact_01_Common,ABILITY,1,1,1,Artifact_Part_Ability_IceSpiker,,
Common,01/Common,InvBalD_Artifact_01_Common,ABILITY,1,1,1,Artifact_Part_Ability_Cauterizer,,
Common,01/Common,InvBalD_Artifact_01_Common,ABILITY,1,1,1,Artifact_Part_Ability_LootExpander,,"Artifact_Part_Rarity_Common, Artifact_Part_Rarity_Uncommon"
Common,01/Common,InvBalD_Artifact_01_Common,ABILITY,1,1,1,Artifact_Part_Ability_ShatterRig,,
Common,01/Common,InvBalD_Artifact_01_Common,ABILITY,1,1,1,Artifact_Part_Ability_FastHands,,
Common,01/Common,InvBalD_Artifact_01_Common,ABILITY,1,1,1,Artifact_Part_Ability_LastStand,,
Common,01/Common,InvBalD_Artifact_01_Common,ABILITY,1,1,1,Artifact_Part_Ability_HotDrop,,
Common,01/Common,InvBalD_Artifact_01_Common,ABILITY,1,1,1,Artifact_Part_Ability_MindMelt,,
Common,01/Common,InvBalD_Artifact_01_Common,ABILITY,1,1,1,Artifact_Part_Ability_SparkPlug,,
Common,01/Common,InvBalD_Artifact_01_Common,ABILITY,1,1,1,Artifact_Part_Ability_ToxicRevenger,,
