Character/Name,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,CHARACTER,1,1,1,ClassMod_Part_Character_Beastmaster,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,MODTYPE,1,1,1,ClassMod_Part_Mod_Beastmaster_01_QuickCharge,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,MODTYPE,1,1,1,ClassMod_Part_Mod_Beastmaster_02_Divergent,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,MODTYPE,1,1,1,ClassMod_Part_Mod_Beastmaster_03_Bushmaster,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,MODTYPE,1,1,1,ClassMod_Part_Mod_Beastmaster_04_Whistleblower,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,MODTYPE,1,1,1,ClassMod_Part_Mod_Beastmaster_05_DARPAW,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,MODTYPE,1,1,1,ClassMod_Part_Mod_Beastmaster_06_Overdriven,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,MODTYPE,1,1,1,ClassMod_Part_Mod_Beastmaster_07_Thrillbotting,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,MODTYPE,1,1,1,ClassMod_Part_Mod_Beastmaster_08_TurboCharged,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,MODTYPE,1,1,1,ClassMod_Part_Mod_Beastmaster_09_Headcase,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,MODTYPE,1,1,1,ClassMod_Part_Mod_Beastmaster_10_Botmaster,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,RARITY,1,1,1,ClassMod_Part_Beastmaster_Rarity_01_Common,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_WeaponDamage,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_FireRate,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_CritDamage,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_Accuracy,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_ChargeTime,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_Handling,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_MagazineSize,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_ReloadSpeed,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_GrenadeDamage,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_GrenadeRadius,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_GrenadeAmmo,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_AreaDamage,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_AreaDamageRadius,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_ActionSkillCooldownRate,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_MeleeDamage,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_HealthMax,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_HealthRegen,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_ShieldCapacity,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_ShieldRegenDelay,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_ShieldRegenRate,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_AssaultRifleDamage,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_SMGDamage,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_ShotgunDamage,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_PistolDamage,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_SniperRifleDamage,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_HeavyDamage,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_Elemental_Resistance_Normal,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_Elemental_Resistance_Cryo,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_Elemental_Resistance_Fire,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_Elemental_Resistance_Corrosive,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_Elemental_Resistance_Radiation,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_Elemental_Resistance_Shock,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_Vladof_WeaponDamage,,
Beastmaster,01/Common,InvBalD_ClassMod_Beastmaster_01_Common,PRIMARY,0,1,1,ClassMod_Part_Stat_Primary_Vladof_WeaponFireRate,,
