/game/patchdlc/alisma/playercharacters/_customizations/roomdeco/roomdeco_dlc4_01_orbs.roomdeco_dlc4_01_orbs,Memory Orbs
/game/patchdlc/alisma/playercharacters/_customizations/roomdeco/roomdeco_dlc4_02_trophy.roomdeco_dlc4_02_trophy,Psychoreaver Trophy
/game/patchdlc/alisma/playercharacters/_customizations/roomdeco/roomdeco_dlc4_03_axe.roomdeco_dlc4_03_axe,Golden Buzz-axe
/game/patchdlc/alisma/playercharacters/_customizations/roomdeco/roomdeco_dlc4_04_moon.roomdeco_dlc4_04_moon,Krieg's Moon
/game/patchdlc/alisma/playercharacters/_customizations/roomdeco/roomdeco_dlc4_05_mask.roomdeco_dlc4_05_mask,Krieg's Mask
/game/patchdlc/dandelion/customizations/roomdeco/roomdeco_dlc1_1.roomdeco_dlc1_1,Neon Peach
/game/patchdlc/dandelion/customizations/roomdeco/roomdeco_dlc1_2.roomdeco_dlc1_2,Casino Banner
/game/patchdlc/dandelion/customizations/roomdeco/roomdeco_dlc1_3.roomdeco_dlc1_3,Handsome Jackpot
/game/patchdlc/dandelion/customizations/roomdeco/roomdeco_dlc1_4.roomdeco_dlc1_4,Saxophone
/game/patchdlc/dandelion/customizations/roomdeco/roomdeco_dlc1_5.roomdeco_dlc1_5,Jack Plaque
/game/patchdlc/dandelion/customizations/roomdeco/roomdeco_dlc1_6.roomdeco_dlc1_6,Jack Hologram
/game/patchdlc/event2/pickups/roomdecoration/roomdecoration_event2_2.roomdecoration_event2_2,Framed Tenderizer
/game/patchdlc/event2/pickups/roomdecoration/roomdecoration_event2_3.roomdecoration_event2_3,Framed Firewall
/game/patchdlc/geranium/customizations/roomdeco/roomdecoration_geranium_2.roomdecoration_geranium_2,Bellik Trophy
/game/patchdlc/geranium/customizations/roomdeco/roomdecoration_geranium_3.roomdecoration_geranium_3,High Noon Clock
/game/patchdlc/geranium/customizations/roomdeco/roomdecoration_geranium_4.roomdecoration_geranium_4,Saloon Sign
/game/patchdlc/geranium/customizations/roomdeco/roomdecoration_geranium_5.roomdecoration_geranium_5,Ruiner Tapestry
/game/patchdlc/geranium/customizations/roomdeco/roomdecoration_geranium_6.roomdecoration_geranium_6,Rampage of the Gorgonoth Poster
/game/patchdlc/geranium/customizations/roomdeco/roomdecoration_geranium_7.roomdecoration_geranium_7,Seven Smugglers Poster
/game/patchdlc/geranium/customizations/roomdeco/roomdecoration_geranium_io_1.roomdecoration_geranium_io_1,Old Guitar
/game/patchdlc/geranium/customizations/roomdeco/roomdecoration_geranium_io_2.roomdecoration_geranium_io_2,Chemistry Set
/game/patchdlc/geranium/customizations/roomdeco/roomdecoration_geranium_io_3.roomdecoration_geranium_io_3,Core Lamp
/game/patchdlc/geranium/customizations/roomdeco/roomdecoration_keytocity.roomdecoration_keytocity,Key to the City
/game/patchdlc/hibiscus/customizations/roomdeco/roomdeco_dlc2_1.roomdeco_dlc2_1,Lunatic Shield
/game/patchdlc/hibiscus/customizations/roomdeco/roomdeco_dlc2_2.roomdeco_dlc2_2,Private Eye
/game/patchdlc/hibiscus/customizations/roomdeco/roomdeco_dlc2_3.roomdeco_dlc2_3,The Lodge Poster
/game/patchdlc/hibiscus/customizations/roomdeco/roomdeco_dlc2_4.roomdeco_dlc2_4,Just Married Poster
/game/patchdlc/hibiscus/customizations/roomdeco/roomdeco_dlc2_5.roomdeco_dlc2_5,Dahl Bonded Blueprints
/game/patchdlc/hibiscus/customizations/roomdeco/roomdeco_dlc2_6.roomdeco_dlc2_6,Talking Fish
/game/patchdlc/hibiscus/customizations/roomdeco/roomdeco_dlc2_7.roomdeco_dlc2_7,Warrior Horn
/game/patchdlc/hibiscus/customizations/roomdeco/roomdeco_dlc2_8.roomdeco_dlc2_8,Framed Portal
/game/patchdlc/raid1/customizations/roomdeco/roomdeco_raid1_1.roomdeco_raid1_1,Wotan's Head
/game/patchdlc/takedown2/interactiveobjects/playerquarters/roomdeco_takedown2.roomdeco_takedown2,The Martyr's Head
/game/patchdlc/vaultcard/customizations/roomdeco/roomdecoration_vc1_1.roomdecoration_vc1_1,Roland and Tina Photo
/game/patchdlc/vaultcard/customizations/roomdeco/roomdecoration_vc1_2.roomdecoration_vc1_2,Maya's Book
/game/patchdlc/vaultcard/customizations/roomdeco/roomdecoration_vc1_3.roomdecoration_vc1_3,Bloodwing Statue
