Manufacturer/Name,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
Anshin,01/Common,InvBalD_Shield_Anshin_01_Common,BODY,1,1,1,Shield_Part_Body_01_Anshin,,
Anshin,01/Common,InvBalD_Shield_Anshin_01_Common,RARITY,1,1,1,Shield_Part_Rarity_Anshin_01_Common,,
Anshin,01/Common,InvBalD_Shield_Anshin_01_Common,AUGMENT,1,1,1,Shield_Part_Aug_00_None,,
Anshin,01/Common,InvBalD_Shield_Anshin_01_Common,ELEMENT,1,1,1,Shield_Part_Element_Normal,,"Part_Shield_Aug_Nova, Part_Shield_Aug_Resistance"
Anshin,01/Common,InvBalD_Shield_Anshin_01_Common,MATERIAL,1,1,1,Shield_Part_Material_Anshin_01_Common,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,BODY,1,1,1,Shield_Part_Body_01_Anshin,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,RARITY,1,1,1,Shield_Part_Rarity_Anshin_02_Uncommon,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Absorb,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Absorb,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Absorb,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Adrenaline,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Adrenaline,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Adrenaline,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Amp,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Amp,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Amp,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Capacity,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Capacity,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Capacity,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Nova,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Nova,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Nova,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_RechargeDelay,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_RechargeDelay,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_RechargeDelay,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_RechargeRate,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_RechargeRate,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_RechargeRate,,
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Reflect,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Anshin,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Reflect,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
